"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"F54E7.9",0.274038434173207,0.840649272285554,0.067,0.105,1
"chc-1",0.274243119522972,0.747111125056611,0.697,0.763,1
"lron-3",0.27433244781753,1.11186369838176,0.292,0.267,1
"Y58A7A.3",0.274338511757293,-0.132085599209614,0.326,0.391,1
"W05B10.4",0.27449301494177,1.02437141262935,0.056,0.033,1
"F56C11.3",0.274686990923184,-0.347969808955392,0.079,0.119,1
"ZK1073.2",0.274753440140271,0.699475969534767,0.045,0.024,1
"attf-6",0.275236950287928,-0.57350345405101,0.202,0.257,1
"C26D10.3",0.275418917521928,1.0615222446467,0.146,0.113,1
"C24D10.5",0.275439395037272,0.142995082510879,0.034,0.065,1
"rpb-5",0.275725949848802,-0.164357913027349,0.438,0.522,1
"C04G6.4",0.276059616276562,0.292133047221237,0.157,0.223,1
"F41C3.8",0.276453029469582,0.689841256925602,0.36,0.349,1
"pycr-1",0.277034814941227,0.361905378777348,0.573,0.567,1
"rnf-5",0.277157421704108,0.392258305781885,0.315,0.401,1
"ula-1",0.277196306053481,0.666598104720976,0.236,0.204,1
"pro-1",0.277220455948355,1.13590110065472,0.404,0.366,1
"srh-219",0.277301644067192,1.1721970015145,0.09,0.061,1
"K09C4.10",0.277322864788849,-0.47471861762511,0.09,0.133,1
"F52D2.12",0.277342470145058,0.504613467359811,0.112,0.077,1
"rga-8",0.27749378881612,0.609433129562173,0.146,0.201,1
"hex-2",0.277622345979996,0.235715593333341,0.775,0.902,1
"R13H4.5",0.277757049259874,-0.496758998590944,0.146,0.195,1
"abt-4",0.277801659863869,1.20216453739022,0.247,0.204,1
"E01G4.3",0.277884826912945,-0.215463968576769,0.539,0.609,1
"W06B4.2",0.278109016026631,0.708690177025,0.303,0.283,1
"Y50D4A.1",0.278872283413638,-0.291475563085441,0.146,0.199,1
"F56C9.6",0.279284501909212,-0.655790461759803,0.022,0.047,1
"D1005.4",0.279532313264389,-0.18467576587987,0.292,0.347,1
"F54C8.7",0.279588759228246,-0.278972046240439,0.202,0.258,1
"mus-101",0.280083777107443,-0.839097964021937,0.09,0.127,1
"dph-3",0.280206663111678,-0.271041781247694,0.371,0.478,1
"bre-3",0.280336943156005,0.326576400328327,0.292,0.361,1
"lin-59",0.280415856433259,0.850588881996713,0.472,0.478,1
"wsp-1",0.28083407230083,-0.452018695329574,0.169,0.227,1
"nhr-7",0.281008515434333,0.549147857826008,0.056,0.033,1
"nhr-138",0.28122335216739,-0.371778454968867,0.146,0.197,1
"R04A9.9",0.281368479462454,-0.907531150825677,0.011,0.031,1
"nsun-4",0.281401543659442,-0.18568819302202,0.079,0.119,1
"use-1",0.281537427602885,-0.421935672168632,0.18,0.239,1
"let-19",0.281673743833896,-0.121928932640063,0.573,0.717,1
"dlat-1",0.281712611519084,-0.244016745094291,0.315,0.384,1
"vps-16",0.281712846675841,0.520959002730017,0.146,0.206,1
"C54G4.9",0.281779119133426,-1.00195501848521,0.056,0.091,1
"R05D7.1",0.281830274811568,1.06355075475763,0.056,0.033,1
"vps-41",0.2819233462493,0.170426189441848,0.112,0.159,1
"F21D5.4",0.282017784243641,0.71418620261246,0.112,0.08,1
"zhp-2",0.282289446597269,-0.609943549340674,0.011,0.031,1
"mlck-1",0.282316196629618,1.36560434687878,0.056,0.092,1
"F13G3.6",0.28242437533527,-0.463724864789726,0.101,0.143,1
"ZK662.2",0.28321245558899,-1.63934517233415,0.011,0.031,1
"lips-7",0.28321245558899,-0.58074833884818,0.011,0.031,1
"lido-12",0.28321245558899,-0.72807074610139,0.011,0.031,1
"C34F6.7",0.283267680775224,-0.160149798372483,0.034,0.063,1
"C27A12.4",0.283273571868816,1.18166507482248,0.079,0.052,1
"M03C11.3",0.283453897959761,0.720875677356617,0.213,0.286,1
"tat-5",0.283668281626939,0.735633222069907,0.416,0.422,1
"csn-3",0.284128360300407,0.677131751463249,0.281,0.25,1
"lin-66",0.284138689189934,-0.253315165942375,0.539,0.602,1
"F27B10.1",0.284172762868164,0.211406259025864,0.449,0.569,1
"C02F5.12",0.284204124211141,0.189634963412252,0.236,0.312,1
"C43H6.4",0.284376538827012,-0.53736473184486,0.146,0.195,1
"eif-3.C",0.28470663028725,0.145507908294925,0.562,0.729,1
"Y50D4C.5",0.284800249458692,-0.448870436852923,0.079,0.119,1
"nhr-226",0.284979352506289,-0.407835176604584,0.112,0.161,1
"yars-2",0.28499693195978,-0.253544619861468,0.27,0.337,1
"zak-1",0.285016122814139,1.33801707130473,0.281,0.244,1
"C55B7.10",0.285076735052107,-0.704959494594509,0.056,0.091,1
"rec-1",0.285208766065958,1.08699527228536,0.022,0.049,1
"C25F9.5",0.285353771413379,0.816349143626396,0.461,0.449,1
"ipgm-1",0.285427979465753,0.249705212140081,0.427,0.548,1
"reps-1",0.285993739648949,-0.203718461956329,0.011,0.031,1
"jhdm-1",0.286104275800377,-0.106622206296391,0.326,0.393,1
"hyls-1",0.286177605851544,-0.284039383021121,0.067,0.106,1
"gly-13",0.286326530185197,0.41416954100237,0.303,0.38,1
"Y75B8A.14",0.286982159875949,0.703390461504435,0.303,0.267,1
"T01D3.1",0.287604232114538,3.17836569658357,0.034,0.017,1
"rab-10",0.287749416979077,1.03295549308204,0.483,0.534,1
"cyld-1",0.287839522087511,1.18695931884383,0.371,0.34,1
"lec-2",0.287916621427282,0.573530756908355,0.079,0.051,1
"Y6B3B.9",0.287980443159966,0.26232086515585,0.112,0.161,1
"F45E1.4",0.288055543958114,-0.625169285038187,0.09,0.129,1
"C09F12.2",0.288199734760602,0.808411806722164,0.067,0.042,1
"dpy-17",0.288210270834422,-1.95328486517939,0.045,0.077,1
"ZK616.3",0.288341230500706,-0.151709765928622,0.056,0.092,1
"F25H8.1",0.288396060256092,-0.279908132961505,0.213,0.267,1
"umps-1",0.288477062432782,0.539599157232256,0.157,0.12,1
"ints-6",0.28875664031454,-0.109989027711681,0.067,0.106,1
"Y105C5A.15",0.288956072388805,1.31605948860722,0.045,0.08,1
"arp-1",0.289076798565228,0.627526624305055,0.382,0.487,1
"F40C5.2",0.28910461979717,-0.553829168661936,0.022,0.047,1
"Y39C12A.9",0.289730739098171,-0.203783251949598,0.011,0.031,1
"gbf-1",0.289791551738819,0.577515074041327,0.607,0.64,1
"unc-104",0.289857428169777,2.30960926800398,0.034,0.017,1
"pid-1",0.28986953282489,-0.428268868014464,0.022,0.047,1
