,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12
hil-7,-0.398574065351614,-0.401566891464432,2.62296432849925,-0.434953558719775,-0.391882395564627,-0.402963477311496,-0.43354388614127,-0.392349532985667,-0.38414992866946,-0.420501237598992,1.82222436886713,-0.400487282643022,-0.384216440916018
hsp-16.41,-0.189729772150283,2.02458857682643,-0.178665309040818,-0.822224976717599,-0.554110425187035,-0.861664403669513,-0.69279439319402,1.84907439676253,0.78174643650097,-0.846710293185673,-0.590801015356122,-0.473226291780756,0.554517470191883
asp-1,0.144515259941003,-0.947939127672754,-0.930788455141174,1.50443618070214,-0.172351349429272,1.16790456162994,1.36591182667075,-0.95188254227964,-0.865256711677888,1.33511443672916,-0.57700564940317,-0.120458727339757,-0.952199702729336
cpz-1,-0.547552767948282,1.95493626166417,-0.601158353974713,-0.62100727263443,-0.598314781064646,-0.623381089705309,-0.620863182458509,1.90906938657992,0.400472370150888,-0.601303222722395,-0.607180525929209,-0.531002972385323,1.08728615042784
lec-9,-0.0853632707065954,-0.98226112829487,-0.959464228614794,0.151752011350524,0.0321868263536488,1.23486684176213,1.48525789650127,-0.991828038152794,-0.910683562962583,1.84251904006922,0.357815307197418,-0.183479082063751,-0.991318612438815
ctc-1,0.0687645718165432,-0.470068664618958,-0.74815549942264,0.543954161883813,-0.232869808467492,0.502313396108639,-0.714600346814985,-0.859410913216509,0.635731751610718,-0.797577304011035,0.411303407733091,2.67077221512605,-1.01015696772723
hsp-16.2,-0.227223477896061,2.07239804684845,0.205230374610568,-0.877857083307698,-0.536613251683558,-0.923694595022212,-0.631789567065052,1.72394165990139,0.539409351318092,-0.938709517333534,-0.450322297621791,-0.667505752812376,0.71273611006378
nlp-31,-0.394049595281602,-0.120926316689555,-0.377200853497425,-0.396969336181872,-0.395820507844287,-0.397049836177785,-0.395428043795445,0.809181732793476,-0.280996645558065,-0.397049836177785,-0.395735238247032,-0.397049836177785,3.13909431283516
F44E5.4,-0.500030003725913,0.671628728262056,2.82243409861983,-0.685399338355218,-0.4175517416888,-0.653400013885166,-0.465048646325102,0.287660166945012,-0.219151797787392,-0.806532045257051,0.773009000619358,-0.816417123476972,0.00879871605535927
Y119D3B.21,-0.476305496400787,-0.700767078331677,-0.681378269356969,-0.142435414735973,0.634767207850395,1.64799760947579,-0.305775416864318,-0.708244274872806,-0.519013973947586,2.45563051407912,-0.526797924454201,0.0332661701356987,-0.710943652576693
clec-196,-0.47579589562472,0.462346018431236,-0.459599949744384,-0.478879879907727,-0.476045659976999,-0.47793509900841,-0.478313934381328,1.30930131479531,-0.304146739592819,-0.479723101100011,-0.479089407047814,-0.479723101100011,2.81760543425768
D2092.8,-0.297304992447325,-0.297570720011281,-0.133299757792436,-0.297233030221646,-0.296112476331482,-0.296542299672217,-0.296284512692977,-0.297570720011281,-0.282061384304445,-0.254037306515617,3.32481331729448,-0.297570720011281,-0.279225397282497
cpl-1,-0.257836938324704,2.4359561115507,-0.595965324024412,-0.687518774626326,-0.541329108886885,-0.691615814389075,-0.691414134973575,1.1485112294993,1.19868415142545,-0.695021454323379,-0.621629252356438,-0.385740225233837,0.384919534663179
npa-1,0.994315879434612,-1.03182284136718,-1.19704516321096,1.5973997339945,0.592333649435193,1.34950137820647,0.151300753661635,-1.14037710946872,-0.516924938582534,0.479752743413405,-0.660958763965183,0.510356677547333,-1.12783199909857
ftn-2,-0.552030535537275,0.497223117632996,-0.669132682507338,-0.458354597629661,-0.580687344076681,-0.375709047260707,-0.464887558135537,1.35959870758049,0.134428159442772,-0.512295550832527,-0.558247772017792,-0.534553051832709,2.71464815517397
F46E10.2,-0.4188192393874,1.15853635525707,-0.59385712548903,-0.59666917808219,-0.562488048994898,-0.598493290385548,-0.58829090668704,1.31093368215363,0.0288744864643896,-0.598671130629671,-0.575977493378376,-0.444222802323221,2.47914469148228
pie-1,-0.233636190705807,0.302948222697634,-0.557827010803532,-0.43692551210809,-0.326340315423428,-0.536802033264023,-0.363211509334078,0.0196333856673193,3.19376002070731,-0.604243767087425,-0.502167167454219,0.0781267459109818,-0.0333148688026468
C15H9.11,-0.301850126146707,-0.301384057029015,-0.301850126146707,-0.300353960926744,-0.258161361178473,-0.210225435809302,-0.301850126146707,-0.301415575013767,-0.292959278787068,-0.268180703207239,3.32574653531055,-0.185665658772119,-0.301850126146707
sdz-27,-0.262561687909638,-0.254456115200308,3.32806753828452,-0.28233770918934,-0.281084746393245,-0.282454262002314,-0.282674156047848,-0.281412376002357,-0.282674156047848,-0.282674156047848,-0.282674156047848,-0.273015173352224,-0.280048844043703
hsp-16.11,-0.180578689861778,2.08640324070667,1.20539386925073,-1.19862755716868,-0.143828945488269,-0.985927612542077,-0.29891908333488,1.02326906043075,0.217111861706615,-1.1245066937635,-0.165113202942695,-0.979595064267326,0.544918817274438
rps-25,0.904882894377778,-0.344061566886511,-0.97267904073707,0.812969967620779,1.22495630691604,0.691929876099866,1.14297998597242,-0.503667776051061,-0.982358760566904,1.14103459447715,-1.51611199723851,-0.611481589152007,-0.988392894831967
rpl-41.2,0.469001960620029,-0.0659749660362355,-0.562458421121684,0.21523754055552,0.989753155606799,0.180971931272893,0.322331204625345,-0.20579338355988,-1.09605883190068,2.48046105513398,-1.34767741331489,-0.432792471531496,-0.947001360349702
rbm-3.2,-0.091925497116998,1.5199256504861,-0.253337994099524,-0.609949957571862,0.00389479510392491,-0.806081853464748,-0.463638204998839,1.67211781187252,-0.240814142465037,-0.694495383311255,-0.960598195610992,-0.896527581402611,1.82143055257933
dao-2,-0.580305862103799,1.06559351473081,-0.566551284053684,-0.588437381079003,-0.587899211966226,-0.586335597357115,-0.587254889519501,2.06752408554331,0.274123091610996,-0.588571259638249,-0.587590036418688,-0.588571259638249,1.85427608988941
asp-3,-0.071674690341762,-0.88642320942442,-0.865261918134376,1.39111685280104,0.835799666408665,1.5457181129725,-0.291852689487253,-0.887362711024439,-0.730531812491406,1.64733318014479,-0.723923873222326,-0.0754122063079077,-0.887524701893103
C08E3.1,-0.316015971019884,-0.366997990452719,-0.366997990452719,-0.310395642080341,-0.346224341521292,-0.351654811507476,3.2564165404661,-0.366348576452252,-0.357230161431222,-0.337640998628032,0.388751717693688,-0.159104914205672,-0.36655686040818
rps-9,0.799146520184874,-0.35916014845708,-1.20796330078258,0.734748747593589,1.10363488454707,0.529952386905855,0.857035758657755,-0.699660907536336,-0.575439482234283,1.64042460403042,-1.45507347017412,-0.216996766411669,-1.1506488263235
rpl-37,0.985106117917419,-0.283616773898025,-1.42832474410986,0.833204571817957,1.19648597873132,0.694542592742716,1.20903289066991,-0.571675147264502,-0.571441859057669,0.923048003477681,-1.47997398205613,-0.687024962253511,-0.819362686717309
F13B6.3,-0.291980623916349,-0.295150088383988,-0.295503630275024,-0.295503630275024,-0.294732748172301,-0.295503630275024,-0.192849979843602,-0.295503630275024,-0.295503630275024,-0.237764482061157,3.32641948219649,-0.240919778168953,-0.295503630275024
K10D3.4,-0.345092029027436,-0.340815674372188,0.415459051009429,-0.345740611264298,-0.276923242320191,-0.343815551253851,-0.339773327033009,-0.344432905978184,-0.308376040102351,-0.345740611264298,3.2554030218363,-0.334918265981501,-0.345233814248426
nduo-4,0.487385065975341,0.0842770853368403,-0.69880411973137,0.320486832450214,-0.0563457097575057,-0.00535441197955882,-0.862176983282899,-0.722552079573124,0.541519925052656,-0.860812915972571,-0.0551646385138044,2.80961371155545,-0.982071761559664
rpl-39,0.98046119435471,-0.383797629144219,-1.16741843467315,0.927810232500603,1.20190745029288,0.678372224028672,1.08762455115705,-0.578667080063053,-0.967737853323077,1.13636827880488,-1.32073547664349,-0.763657159873212,-0.830530297418588
lec-8,-0.315840153371274,-0.324451383775455,-0.320628352386614,-0.321409976077931,-0.233467794113357,-0.152733704925505,-0.312251334168506,-0.325702258675931,-0.31463920332243,-0.286117303700541,3.31860967502198,-0.0856659518284987,-0.325702258675931
dct-18,2.35116687630784,0.0556553034705245,-1.2970391076491,0.895314942345366,0.434910117241435,-0.972006825542886,0.864827031311974,-0.212126292625569,-0.231824407442127,-0.866616963874676,-1.00975395012701,0.335580889263869,-0.348087612679637
